year,line,text,titulo,cap,art,tema
2010,1,"TEXTO DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA AL QUE SE LE HAN INCORPORADO LAS REFORMAS APROBADAS EN LA LEY “REFORMA CONSTITUCIONAL PARA LAS ELECCIONES DEL 25 DE FEBRERO DE 1990”, EN LA LEY No. 192, “LEY DE REFORMA PARCIAL A LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA”, LA LEY No. 330, “LEY DE REFORMA PARCIAL A LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA”, LA LEY No. 490, “LEY QUE REFORMA PARCIALMENTE EL ARTÍCULO 138, INCISO 12 CONSTITUCIONAL”, LEY No. 520, “LEY DE REFORMA PARCIAL A LA CONSTITUCIÓN POLÍTICA”, LEY No. 521, “LEY DE REFORMA PARCIAL AL ARTÍCULO 140 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA” Y LA LEY No. 527, “LEY DE REFORMA PARCIAL DE LA CONSTITUCIÓN POLÍTICA”.",PREÁMBULO,NA,NA,PREÁMBULO
2010,2,Aprobada el 16 de Septiembre del 2010,PREÁMBULO,NA,NA,PREÁMBULO
2010,3,"Publicada en La Gaceta, Diario Oficial No. 176 del 16 de Septiembre del 2010",PREÁMBULO,NA,NA,PREÁMBULO
2010,4,El Presidente de la República,PREÁMBULO,NA,NA,PREÁMBULO
2010,5,"Hace saber al pueblo de Nicaragua que la Asamblea Nacional Constituyente ha consultado con el pueblo, discutido y aprobado la siguiente",PREÁMBULO,NA,NA,PREÁMBULO
2010,6,CONSTITUCIÓN POLÍTICA:,PREÁMBULO,NA,NA,PREÁMBULO
2010,7,Preámbulo,PREÁMBULO,NA,NA,PREÁMBULO
2010,8,"NOSOTROS,",PREÁMBULO,NA,NA,PREÁMBULO
2010,9,"Representantes del Pueblo de Nicaragua, reunidos en Asamblea Nacional Constituyente.",PREÁMBULO,NA,NA,PREÁMBULO
2010,10,Evocando,PREÁMBULO,NA,NA,PREÁMBULO
2010,11,La lucha de nuestros antepasados indígenas.,PREÁMBULO,NA,NA,PREÁMBULO
2010,12,"El espíritu de unidad centroamericana y la tradición combativa de nuestro Pueblo que, inspirado en el ejemplo del General JOSE DOLORES ESTRADA, ANDRÉS CASTRO Y ENMANUEL MONGALO, derrotó al dominio filibustero y la intervención norteamericana en la Guerra Nacional.",PREÁMBULO,NA,NA,PREÁMBULO
2010,13,La gesta antintervencionista de BENJAMIN ZELEDON.,PREÁMBULO,NA,NA,PREÁMBULO
2010,14,"Al General de Hombres Libres, AUGUSTO C. SANDINO, Padre de la Revolución Popular y Antimperialista.",PREÁMBULO,NA,NA,PREÁMBULO
2010,15,"La acción heroica de RIGOBERTO LOPEZ PEREZ, iniciador del principio del fin de la dictadura.",PREÁMBULO,NA,NA,PREÁMBULO
2010,16,"El ejemplo de CARLOS FONSECA, el más alto continuador de la herencia de Sandino, fundador del Frente Sandinista de Liberación Nacional y Jefe de la Revolución.",PREÁMBULO,NA,NA,PREÁMBULO
2010,17,A todas las generaciones de Héroes y Mártires que forjaron y desarrollaron la lucha de liberación por la independencia nacional.,PREÁMBULO,NA,NA,PREÁMBULO
2010,18,En Nombre,PREÁMBULO,NA,NA,PREÁMBULO
2010,19,"Del pueblo nicaragüense; de todos los partidos y organizaciones democráticas, patrióticas y revolucionarias de Nicaragua; de sus hombres y mujeres; de sus obreros y campesinos; de su gloriosa juventud; de sus heroicas madres; de los cristianos que desde su fe en DIOS se han comprometido e insertado en la lucha por la liberación de los oprimidos; de sus intelectuales patrióticos; y de todos los que con su trabajo productivo contribuyen a la defensa de la Patria.",PREÁMBULO,NA,NA,PREÁMBULO
2010,20,De los que luchan y ofrendan sus vidas frente a la agresión imperialista para garantizar la felicidad de las nuevas generaciones.,PREÁMBULO,NA,NA,PREÁMBULO
2010,21,Por,PREÁMBULO,NA,NA,PREÁMBULO
2010,22,"La institucionalización de las conquistas de la Revolución y la construcción de una nueva sociedad que elimine toda clase de explotación y logre la igualdad económica, política y social de los nicaragüenses y el respeto absoluto de los derechos humanos.",PREÁMBULO,NA,NA,PREÁMBULO
2010,23,"POR LA PATRIA, POR LA REVOLUCIÓN, POR LA UNIDAD DE LA NACIÓN Y POR LA PAZ",PREÁMBULO,NA,NA,PREÁMBULO
2010,24,Promulgamos la siguiente,PREÁMBULO,NA,NA,PREÁMBULO
2010,25,CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA,PREÁMBULO,NA,NA,PREÁMBULO
2010,26,TITULO I,TITULO I,NA,NA,PRINCIPIOS FUNDAMENTALES
2010,27,PRINCIPIOS FUNDAMENTALES,TITULO I,NA,NA,PRINCIPIOS FUNDAMENTALES
2010,28,CAPITULO ÚNICO,TITULO I,CAPITULO ÚNICO,NA,PRINCIPIOS FUNDAMENTALES
2010,29,"Arto. 1 La independencia, la soberanía y la autodeterminación nacional, son derechos irrenunciables del pueblo y fundamentos de la nación nicaragüense. Toda injerencia extranjera en los asuntos internos de Nicaragua o cualquier intento de menoscabar esos derechos, atenta contra la vida del pueblo. Es deber de todos los nicaragüenses preservar y defender estos derechos.",TITULO I,CAPITULO ÚNICO,1,PRINCIPIOS FUNDAMENTALES
2010,30,"Arto. 2 La soberanía nacional reside en el pueblo y la ejerce a través de instrumentos democráticos, decidiendo y participando libremente en la construcción y perfeccionamiento del sistema económico, político y social de la nación. El poder político lo ejerce el pueblo por medio de sus representantes libremente elegidos por sufragio universal, igual, directo y secreto sin que ninguna otra persona o reunión de personas pueda arrogarse este poder o representación. También podrá ejercerlo de manera directa por medio del referéndum y del plebiscito y otros procedimientos que establezcan la presente Constitución y las leyes.",TITULO I,CAPITULO ÚNICO,2,PRINCIPIOS FUNDAMENTALES
2010,31,"Arto. 3 La lucha por la paz y por el establecimiento de un orden internacional justo, son compromisos irrenunciables de la nación nicaragüense. Por ello nos oponemos a todas las formas de dominación y explotación colonialista e imperialista y somos solidarios con todos los pueblos que luchan contra la opresión y la discriminación.",TITULO I,CAPITULO ÚNICO,3,PRINCIPIOS FUNDAMENTALES
2010,32,"Arto. 4 El Estado promoverá y garantizará los avances de carácter social y político para asegurar el bien común, asumiendo la tarea de promover el desarrollo humano de todos y cada uno de los nicaragüenses, protegiéndolos contra toda forma de explotación, discriminación y exclusión.",TITULO I,CAPITULO ÚNICO,4,PRINCIPIOS FUNDAMENTALES
2010,33,"Arto. 5 Son principios de la nación nicaragüense, la libertad, la justicia, el respeto a la dignidad de la persona humana, el pluralismo político, social y étnico, el reconocimiento a las distintas formas de propiedad, la libre cooperación internacional y el respeto a la libre autodeterminación de los pueblos.",TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,34,"El pluralismo político asegura la existencia y participación de todas las organizaciones políticas en los asuntos económicos, políticos y sociales del país, sin restricción ideológica, excepto aquellos que pretenden el restablecimiento de todo tipo de dictadura o de cualquier sistema antidemocrático.",TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,35,"El Estado reconoce la existencia de los pueblos indígenas, que gozan de los derechos, deberes y garantías consignados en la Constitución, y en especial los de mantener y desarrollar su identidad y cultura, tener sus propias formas de organización social y administrar sus asuntos locales, así como mantener las formas comunales de propiedad de sus tierras y el goce, uso y disfrute de las mismas, todo de conformidad con la ley. Para las comunidades de la Costa Atlántica se establece el régimen de autonomía en la presente Constitución.",TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,36,"Las diferentes formas de propiedad: pública, privada, asociativa, cooperativa y comunitaria deberán ser garantizadas y estimuladas sin discriminación para producir riquezas, y todas ellas dentro de su libre funcionamiento deberán cumplir una función social.",TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,37,"Nicaragua fundamenta sus relaciones internacionales en la amistad y solidaridad entre los pueblos y la reciprocidad entre los Estados. Por tanto, se inhibe y proscribe todo tipo de agresión política, militar, económica, cultural y religiosa, y la intervención en los asuntos internos de otros Estados. Reconoce el principio de solución pacífica de las controversias internacionales por los medios que ofrece el derecho internacional y proscribe el uso de armas nucleares y otros medios de destrucción masiva en conflictos internos e internacionales; asegura el asilo para los perseguidos políticos, y rechaza toda subordinación de un Estado respecto a otro.",TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,38,Nicaragua se adhiere a los principios que conforman el Derecho Internacional Americano reconocido y ratificado soberanamente.,TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,39,Nicaragua privilegia la integración regional y propugna por la reconstrucción de la gran Patria Centroamericana.,TITULO I,CAPITULO ÚNICO,5,PRINCIPIOS FUNDAMENTALES
2010,40,TITULO II,TITULO II,CAPITULO ÚNICO,5,SOBRE EL ESTADO
2010,41,SOBRE EL ESTADO,TITULO II,CAPITULO ÚNICO,5,SOBRE EL ESTADO
2010,42,CAPITULO ÚNICO,TITULO II,CAPITULO ÚNICO,5,SOBRE EL ESTADO
2010,43,"Arto. 6 Nicaragua es un Estado independiente, libre, soberano, unitario e indivisible.",TITULO II,CAPITULO ÚNICO,6,SOBRE EL ESTADO
2010,44,"Arto. 7 Nicaragua es una República democrática, participativa y representativa. Son órganos de gobierno: el Poder Legislativo, el Poder Ejecutivo, el Poder Judicial y el Poder Electoral.",TITULO II,CAPITULO ÚNICO,7,SOBRE EL ESTADO
2010,45,Arto. 8 El pueblo de Nicaragua es de naturaleza multiétnica y parte integrante de la nación centroamericana.,TITULO II,CAPITULO ÚNICO,8,SOBRE EL ESTADO
2010,46,"Arto. 9 Nicaragua defiende firmemente la unidad centroamericana, apoya y promueve todos los esfuerzos para lograr la integración política y económica y la cooperación en América Central, así como los esfuerzos por establecer y preservar la paz en la región.",TITULO II,CAPITULO ÚNICO,9,SOBRE EL ESTADO
2010,47,"Nicaragua aspira a la unidad de los pueblos de América Latina y el Caribe, inspirada en los ideales unitarios de Bolívar y Sandino.",TITULO II,CAPITULO ÚNICO,9,SOBRE EL ESTADO
2010,48,"En consecuencia, participará con los demás países centroamericanos y latinoamericanos en la creación o elección de los organismos necesarios para tales fines.",TITULO II,CAPITULO ÚNICO,9,SOBRE EL ESTADO
2010,49,Este principio se regulará por la legislación y los tratados respectivos.,TITULO II,CAPITULO ÚNICO,9,SOBRE EL ESTADO
2010,50,"Arto. 10 El territorio nacional es el comprendido entre el Mar Caribe y el Océano Pacífico y las Repúblicas de Honduras y Costa Rica. La soberanía, jurisdicción y derechos de Nicaragua se extienden a las islas, cayos y bancos adyacentes, así como a las aguas interiores, el mar territorial, la zona contigua, la plataforma continental, la zona económica exclusiva y el espacio aéreo correspondiente, de conformidad con la ley y las normas de Derecho Internacional.",TITULO II,CAPITULO ÚNICO,10,SOBRE EL ESTADO
2010,51,"La República de Nicaragua únicamente reconoce obligaciones internacionales sobre su territorio que hayan sido libremente consentidas y de conformidad con la Constitución Política de la República y con las normas de Derecho Internacional. Asimismo, no acepta los tratados suscritos por otros países en los cuales Nicaragua no sea Parte Contratante.",TITULO II,CAPITULO ÚNICO,10,SOBRE EL ESTADO
2010,52,Arto. 11 El español es el idioma oficial del Estado. Las lenguas de las Comunidades de la Costa Atlántica de Nicaragua también tendrán uso oficial en los casos que establezca la ley.,TITULO II,CAPITULO ÚNICO,11,SOBRE EL ESTADO
2010,53,"Arto. 12 La ciudad de Managua es la capital de la República y sede de los Poderes del Estado. En circunstancias extraordinarias, éstos se podrán establecer en otras partes del territorio nacional.",TITULO II,CAPITULO ÚNICO,12,SOBRE EL ESTADO
2010,54,"Arto. 13 Los símbolos patrios son: el Himno Nacional, la Bandera y el Escudo establecidos por la ley que determina sus características y usos.",TITULO II,CAPITULO ÚNICO,13,SOBRE EL ESTADO
2010,55,Arto. 14 El Estado no tiene religión oficial.,TITULO II,CAPITULO ÚNICO,14,SOBRE EL ESTADO
2010,56,TITULO III,TITULO III,CAPITULO ÚNICO,14,LA NACIONALIDAD NICARAGÜENSE
2010,57,LA NACIONALIDAD NICARAGÜENSE,TITULO III,CAPITULO ÚNICO,14,LA NACIONALIDAD NICARAGÜENSE
2010,58,CAPITULO ÚNICO,TITULO III,CAPITULO ÚNICO,14,LA NACIONALIDAD NICARAGÜENSE
2010,59,Arto. 15 Los nicaragüenses son nacionales o nacionalizados.,TITULO III,CAPITULO ÚNICO,15,LA NACIONALIDAD NICARAGÜENSE
2010,60,Arto. 16 Son nacionales:,TITULO III,CAPITULO ÚNICO,16,LA NACIONALIDAD NICARAGÜENSE
2010,61,"1) Los nacidos en el territorio nacional. Se exceptúan los hijos de extranjeros en servicio diplomático, los de funcionarios extranjeros al servicio de organizaciones internacionales o los de enviados por sus gobiernos a desempeñar trabajos en Nicaragua, a menos que optaren por la nacionalidad nicaragüense.",TITULO III,CAPITULO ÚNICO,16,LA NACIONALIDAD NICARAGÜENSE
2010,62,2) Los hijos de padre o madre nicaragüense.,TITULO III,CAPITULO ÚNICO,16,LA NACIONALIDAD NICARAGÜENSE
2010,63,"3) Los nacidos en el extranjero de padre o madre que originalmente fueron nicaragüenses, siempre y cuando lo solicitaren después de alcanzar la mayoría de edad o emancipación.",TITULO III,CAPITULO ÚNICO,16,LA NACIONALIDAD NICARAGÜENSE
