year,line,text,titulo,cap,art,tema
1987,1,CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA,PREÁMBULO,NA,NA,PREÁMBULO
1987,2,"CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA DE NICARAGUA, aprobada el 19 de noviembre de 1986",PREÁMBULO,NA,NA,PREÁMBULO
1987,3,"Publicada en La Gaceta, Diario Oficial N°. 05 del 09 de enero de 1987",PREÁMBULO,NA,NA,PREÁMBULO
1987,4,EL PRESIDENTE DE LA REPÚBLICA,PREÁMBULO,NA,NA,PREÁMBULO
1987,5,"Hace saber al pueblo de Nicaragua que la Asamblea Nacional Constituyente ha consultado con el pueblo, discutido y aprobado la siguiente Constitución Política:",PREÁMBULO,NA,NA,PREÁMBULO
1987,6,P R E Á M B U L O,PREÁMBULO,NA,NA,PREÁMBULO
1987,7,"NOSOTROS,",PREÁMBULO,NA,NA,PREÁMBULO
1987,8,"Representantes del Pueblo de Nicaragua, reunidos en Asamblea Nacional Constituyente.",PREÁMBULO,NA,NA,PREÁMBULO
1987,9,E V O C A N D O,PREÁMBULO,NA,NA,PREÁMBULO
1987,10,La lucha de nuestros antepasados indígenas.,PREÁMBULO,NA,NA,PREÁMBULO
1987,11,"El espíritu de unidad centroamericana y la tradición combativa de nuestro Pueblo que, inspirado en el ejemplo del General JOSÉ DOLORES ESTRADA, ANDRÉS CASTRO Y ENMANUEL MONGALO, derrotó al dominio filibustero y la intervención norteamericana en la Guerra Nacional.",PREÁMBULO,NA,NA,PREÁMBULO
1987,12,La gesta antintervencionista de BENJAMÍN ZELEDÓN.,PREÁMBULO,NA,NA,PREÁMBULO
1987,13,"Al General de Hombres Libres, AUGUSTO C. SANDINO, Padre de la Revolución Popular y Antimperialista.",PREÁMBULO,NA,NA,PREÁMBULO
1987,14,"La acción heroica de RIGOBERTO LÓPEZ PÉREZ, iniciador del principio del fin de la dictadura.",PREÁMBULO,NA,NA,PREÁMBULO
1987,15,"El ejemplo de CARLOS FONSECA, el más alto continuador de la herencia de Sandino, fundador del Frente Sandinista de Liberación Nacional y Jefe de la Revolución.",PREÁMBULO,NA,NA,PREÁMBULO
1987,16,A todas las generaciones de Héroes y Mártires que forjaron y desarrollaron la lucha de liberación por la independencia nacional.,PREÁMBULO,NA,NA,PREÁMBULO
1987,17,EN NOMBRE,PREÁMBULO,NA,NA,PREÁMBULO
1987,18,"Del pueblo nicaragüense; de todos los partidos y organizaciones democráticas, patrióticas y revolucionarias de Nicaragua; de sus hombres y mujeres; de sus obreros y campesinos; de su gloriosa juventud; de sus heroicas madres; de los cristianos que desde su fe en DIOS se han comprometido e insertado en la lucha por la liberación de los oprimidos; de sus intelectuales patrióticos; y de todos los que con su trabajo productivo contribuyen a la defensa de la Patria.",PREÁMBULO,NA,NA,PREÁMBULO
1987,19,De los que luchan y ofrendan sus vidas frente a la agresión imperialista para garantizar la felicidad de las nuevas generaciones.,PREÁMBULO,NA,NA,PREÁMBULO
1987,20,POR,PREÁMBULO,NA,NA,PREÁMBULO
